SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2009-01-22,1,36861
2009-01-23,48,37077
2009-01-23,47,37775
2009-01-23,46,39638
2009-01-23,45,40936
2009-01-23,44,42190
2009-01-23,43,44301
2009-01-23,42,45848
2009-01-23,41,47167
2009-01-23,40,48846
2009-01-23,39,50411
2009-01-23,38,51828
2009-01-23,37,52603
2009-01-23,36,53341
2009-01-23,35,53501
2009-01-23,34,50694
2009-01-23,33,47986
2009-01-23,32,46857
2009-01-23,31,46586
2009-01-23,30,46857
2009-01-23,29,47447
2009-01-23,28,47592
2009-01-23,27,48248
2009-01-23,26,48457
2009-01-23,25,48960
2009-01-23,24,49109
2009-01-23,23,49071
2009-01-23,22,49166
2009-01-23,21,49146
2009-01-23,20,49132
2009-01-23,19,49087
2009-01-23,18,48043
2009-01-23,17,47933
2009-01-23,16,47073
2009-01-23,15,44540
2009-01-23,14,40533
2009-01-23,13,37132
2009-01-23,12,34244
2009-01-23,11,33338
2009-01-23,10,32984
2009-01-23,9,33162
2009-01-23,8,33903
2009-01-23,7,35135
2009-01-23,6,35861
2009-01-23,5,35773
2009-01-23,4,36110
2009-01-23,3,36714
2009-01-23,2,36730
2009-01-23,1,36767
2009-01-24,40,45591
2009-01-24,39,46936
2009-01-24,38,48134
2009-01-24,37,49111
2009-01-24,36,49581
2009-01-24,35,48713
2009-01-24,34,45292
2009-01-24,33,42121
2009-01-24,32,41192
2009-01-24,31,41230
2009-01-24,30,41512
2009-01-24,29,42228
2009-01-24,28,42507
2009-01-24,27,42798
2009-01-24,26,43644
2009-01-24,25,44096
2009-01-24,24,44131
2009-01-24,23,44153
2009-01-24,22,44005
2009-01-24,21,43628
2009-01-24,20,43022
2009-01-24,19,42091
2009-01-24,18,40004
2009-01-24,17,37654
2009-01-24,16,35975
2009-01-24,15,35012
2009-01-24,14,33720
2009-01-24,13,32955
2009-01-24,12,32105
2009-01-24,11,32095
2009-01-24,10,32466
2009-01-24,9,32778
2009-01-24,8,33481
2009-01-24,7,34832
2009-01-24,6,35342
2009-01-24,5,35386
2009-01-24,4,35882
2009-01-24,3,36683
2009-01-24,2,37226
2009-01-24,1,37512
2009-01-24,48,35195
2009-01-24,47,35827
2009-01-24,46,37169
2009-01-24,45,38147
2009-01-24,44,39581
2009-01-24,43,41019
2009-01-24,42,42621
