"Date"	"ScotDemand"	"NITransfer"	"Fergus"	"GBTotal"	"EnglandTransfer"
2015-01-18	261.262799	176.877713	774.462239	3413.875183	336.321727
2015-01-19	281.061554	228.410916	951.990659	3981.737932	442.518189
2015-01-20	277.043918	233.755697	749.707569	3972.716377	238.907954
2015-01-21	282.443871	235.488553	796.719498	3969.83443	278.787074
2015-01-22	262.12131	222.889269	734.774109	3836.565111	249.76353
2015-01-23	248.178972	179.166667	717.273195	3568.560842	289.927556
2015-01-24	240.9258	174.7111	777.873832	3143.532376	362.236932
2015-01-25	216.350307	153.466797	798.174383	2968.547271	428.357279
2015-01-26	230.396332	205.077582	795.59383	3217.849177	360.119916
2015-01-27	225.486771	193.422309	812.674014	3175.837983	393.764934
2015-01-28	255.149049	192.38878	819.228033	3245.141423	371.690204
2015-01-29	262.880743	197.922092	784.460738	3556.497174	323.657903
2015-01-30	247.35525	183.527858	789.792127	3391.941678	358.909019
2015-01-31	247.574905	170.35536	817.049361	3239.476787	399.119096
2015-02-01	254.380975	198.166775	752.561216	3379.635362	300.013466
2015-02-02	275.006966	248.288845	638.968383	3970.251281	115.672572
2015-02-03	281.22462	236.277669	833.366203	3959.73309	315.863914
2015-02-04	272.910886	245	775.568961	3893.83566	257.658075
2015-02-05	237.538055	219.222005	776.633639	3947.88176	319.873579
2015-02-06	236.770488	217.922635	760.684508	3898.438841	305.991385
2015-02-07	225.014525	182.899848	674.725436	3506.218766	266.811063
2015-02-08	221.935187	198.577474	718.875653	3473.427912	298.362992
2015-02-09	219.987682	238.433702	535.642115	3534.79971	77.220731
2015-02-10	238.607607	236.655273	667.6426	3580.595306	192.37972
2015-02-11	234.984846	232.555881	753.571856	3588.762085	286.031129
2015-02-12	227.005433	195.855577	937.503173	3478.923731	514.642163
2015-02-13	230.638482	197.744141	956.012699	3473.530421	527.630076
2015-02-14	205.409481	172.444661	958.364858	3089.456124	580.510716
2015-02-15	200.613848	157.578125	886.39472	2943.607878	528.202747
2015-02-16	220.66387	190.244141	895.708869	3169.668586	484.800858
2015-02-17	226.208391	181.41059	856.7426	3180.799482	449.123619
2015-02-18	204.490091	165.044488	735.681327	3003.209928	366.146748
2015-02-19	209.237255	184.200304	716.731502	3085.423743	323.293943
2015-02-20	221.492185	199.822049	676.047445	3292.409392	254.733211
2015-02-21	223.01651	179.16875	693.300916	3024.96858	291.115656
2015-02-22	240.304705	159.321832	681.485031	3170.911483	281.858494
2015-02-23	254.980867	179.978299	677.813847	3237.119372	242.854681
2015-02-24	247.383176	181.87717	631.490614	3094.585643	202.230268
2015-02-25	225.991993	170.044488	754.838575	3083.050981	358.802094
2015-02-26	223.744819	171.667633	789.405774	3004.563931	393.993322
2015-02-27	228.152446	179.54325	780.044798	3046.970725	372.349102
2015-02-28	212.307813	145.83335	749.551937	2741.625883	391.410774
2015-03-01	224.152837	150.222202	741.406614	2772.492376	367.031575
2015-03-02	246.28913	181.766697	732.455905	3152.112206	304.400078
2015-03-03	249.534034	179.85555	716.981242	3142.135384	287.591658
2015-03-04	227.918369	192.77771	753.618069	3331.436722	332.92199
2015-03-05	215.242823	161.022271	720.73945	3156.557931	344.474356
2015-03-06	205.543608	152.111138	780.575033	2749.901286	422.920287
2015-03-07	184.66683	127.29994	787.938118	2421.324032	475.971348
2015-03-08	194.12249	136.199951	779.731166	2570.360355	449.408725
2015-03-09	229.702474	162.522244	782.016314	3110.013143	389.791596
2015-03-10	214.611321	186.099989	773.744348	2972.045658	373.033038
2015-03-11	229.914089	176.411133	784.323308	3063.78977	377.998086
2015-03-12	233.843278	202.955458	763.728073	2717.603462	326.929337
2015-03-13	207.874059	211.755642	763.370542	2894.365283	343.740841
