GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2016,Count,GWh,Coal,Public Sector,0.038
S12000005,2016,Count,GWh,Coal,Rail,0
S12000005,2016,Count,GWh,Coal,All,2.976
S12000005,2016,Count,GWh,All,Domestic,413.27
S12000005,2016,Count,GWh,All,Industrial & Commercial,1053.13
S12000005,2016,Count,GWh,All,Transport,279.687
S12000005,2016,Count,GWh,Electricity,Domestic,87.501
S12000005,2016,Count,GWh,Electricity,Industrial & Commercial,224.003
S12000005,2016,Count,GWh,Electricity,All,311.504
S12000005,2016,Count,GWh,Gas,Commercial,390.93
S12000005,2016,Count,GWh,Gas,Domestic,297.866
S12000005,2016,Count,GWh,Gas,Industrial,411.018
S12000005,2016,Count,GWh,Gas,All,1099.814
S12000005,2016,Count,GWh,Manufactured Fuels,Domestic,2.115
S12000005,2016,Count,GWh,Manufactured Fuels,Industrial,0.679
S12000005,2016,Count,GWh,Manufactured Fuels,All,2.794
S12000005,2016,Count,GWh,Petroleum Products,Agriculture,10.374
S12000005,2016,Count,GWh,Petroleum Products,Commercial,0.284
S12000005,2016,Count,GWh,Petroleum Products,Domestic,9.347
S12000005,2016,Count,GWh,Petroleum Products,Industrial,15.751
S12000005,2016,Count,GWh,Petroleum Products,Public Sector,0.027
S12000005,2016,Count,GWh,Petroleum Products,Rail,49.34
S12000005,2016,Count,GWh,Petroleum Products,Road Transport,224.418
S12000005,2016,Count,GWh,Petroleum Products,All,309.539
S12000005,2017,Count,GWh,All,All,1770.876
S12000005,2017,Count,GWh,Bioenergy & Wastes,Domestic,13.457
S12000005,2017,Count,GWh,Bioenergy & Wastes,Road Transport,5.896
S12000005,2017,Count,GWh,Bioenergy & Wastes,All,19.357
S12000005,2017,Count,GWh,Bioenergy & Wastes,Commercial,0.002
S12000005,2017,Count,GWh,Bioenergy & Wastes,Industrial,0.002
S12000005,2017,Count,GWh,Coal,Agriculture,0
S12000005,2017,Count,GWh,Coal,Commercial,0.033
S12000005,2017,Count,GWh,Coal,Domestic,2.846
S12000005,2017,Count,GWh,Coal,Industrial,0.002
S12000005,2017,Count,GWh,Coal,Public Sector,0.029
S12000005,2017,Count,GWh,Coal,Rail,0
S12000005,2017,Count,GWh,Coal,All,2.91
S12000005,2017,Count,GWh,All,Domestic,421.635
S12000005,2017,Count,GWh,All,Industrial & Commercial,1068.476
S12000005,2017,Count,GWh,All,Transport,280.765
S12000005,2017,Count,GWh,Electricity,Domestic,86.557
S12000005,2017,Count,GWh,Electricity,Industrial & Commercial,221.838
S12000005,2017,Count,GWh,Electricity,All,308.394
S12000005,2017,Count,GWh,Gas,Commercial,393.424
S12000005,2017,Count,GWh,Gas,Domestic,307.548
S12000005,2017,Count,GWh,Gas,Industrial,422.578
S12000005,2017,Count,GWh,Gas,All,1123.549
S12000005,2017,Count,GWh,Manufactured Fuels,Domestic,2.283
S12000005,2017,Count,GWh,Manufactured Fuels,Industrial,0.935
S12000005,2017,Count,GWh,Manufactured Fuels,All,3.217
S12000005,2017,Count,GWh,Petroleum Products,Agriculture,10.274
S12000005,2017,Count,GWh,Petroleum Products,Commercial,0.311
S12000005,2017,Count,GWh,Petroleum Products,Domestic,8.945
S12000005,2017,Count,GWh,Petroleum Products,Industrial,19.024
S12000005,2017,Count,GWh,Petroleum Products,Public Sector,0.025
S12000005,2017,Count,GWh,Petroleum Products,Rail,48.809
S12000005,2017,Count,GWh,Petroleum Products,Road Transport,226.06
S12000005,2017,Count,GWh,Petroleum Products,All,313.449
S12000005,2018,Count,GWh,All,All,1773.339
S12000005,2018,Count,GWh,Bioenergy & Wastes,Domestic,14.685
S12000005,2018,Count,GWh,Bioenergy & Wastes,Road Transport,8.047
S12000005,2018,Count,GWh,Bioenergy & Wastes,All,22.737
S12000005,2018,Count,GWh,Bioenergy & Wastes,Commercial,0.002
S12000005,2018,Count,GWh,Bioenergy & Wastes,Industrial,0.003
S12000005,2018,Count,GWh,Coal,Agriculture,0
S12000005,2018,Count,GWh,Coal,Commercial,0.034
S12000005,2018,Count,GWh,Coal,Domestic,2.754
S12000005,2018,Count,GWh,Coal,Industrial,0.001
S12000005,2018,Count,GWh,Coal,Public Sector,0.031
S12000005,2018,Count,GWh,Coal,Rail,0
S12000005,2018,Count,GWh,Coal,All,2.821
S12000005,2018,Count,GWh,All,Domestic,413.955
